glottocode,language,iso,level,area,latitude,longitude,countries,affiliation,subclassification,family,endangerment,my_annotation
avar1256,Avar,ava,language,Eurasia,41.7047,46.558,AZ;GE;RU;TR,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic","(Ancux:1,Andalal-Gxdatl:1,Bacadin:1,Batlux:1,Hid:1,Karax:1,Kaxib:1,Keleb:1,Salatav:1,Shulanin:1,Untib:1,Xunzax:1,Zakataly:1,Zaqatala:1)avar1256:1;",Nakh-Daghestanian,threatened,
darg1241,North-Central Dargwa,dar,language,Eurasia,42.4257,47.4388,AZ;KZ;RU;UA,"Nakh-Daghestanian, Daghestanian, Dargwic","(Megeb:1,(Cudaxar:1,Gapshin-Butrin:1,Kadarskij:1,(Dejbuk:1,Xarbuk:1)muir1238:1,((Akusha:1,Uraxa:1)aqus1234:1,Mugin:1,Murego-Gubden:1,Upper_Mulebki:1)nucl1774:1)nort3280:1)darg1241:1;",Nakh-Daghestanian,threatened,
ingu1240,Ingush,inh,language,Eurasia,43.11,45.03,GE;RU,"Nakh-Daghestanian, Nakh, Chechen-Ingush",(Ingush:1);,Nakh-Daghestanian,threatened,
chec1245,Chechen,che,language,Eurasia,43.5,45.5,GE;KZ;RU,"Nakh-Daghestanian, Nakh, Chechen-Ingush","(Itumkala:1,Melkhin:1,Ploskost:1)chec1245:1;",Nakh-Daghestanian,threatened,
andi1255,Andi,ani,language,Eurasia,42.8078,46.2919,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic","((Kvanxidatl:1,Munib:1)lowe1465:1,(Andi_of_Andi:1,Ashali:1,Chanxo:1,Gagatl:1,Gunxo:1,Rikvani:1,Zilo:1)uppe1485:1)andi1255:1;",Nakh-Daghestanian,threatened,
tsak1249,Tsakhur,tkr,language,Eurasia,41.5916,46.8858,AZ;RU,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Western Samur","(Kirmico-Lek:1,Mikik:1,Misles:1)tsak1249:1;",Nakh-Daghestanian,threatened,
rutu1240,Rutul,rut,language,Eurasia,41.6187,47.3244,AZ;RU,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Western Samur","(Borch:1,Ixreko-Muxrek:1,Shina_-Nakh-Daghestan:1)rutu1240:1;",Nakh-Daghestanian,threatened,
taba1259,Tabasaran,tab,language,Eurasia,42.0198,47.8379,AZ;KZ;RU,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Eastern Samur, Tabasaran-Aghul-Lezgi","(North_Tabasaran:1,South_Tabasaran:1)taba1259:1;",Nakh-Daghestanian,threatened,
lezg1247,Lezgian,lez,language,Eurasia,41.5157,47.8951,AZ;GE;KZ;RU;UA,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Eastern Samur, Tabasaran-Aghul-Lezgi, Aghul-Lezgi","(Akhty:1,Anykh:1,Garkin:1,Gjunej:1,Kiuri:1,Kubachi_-Lezgian:1,Quba_-Lezgian:1,Stal:1)lezg1247:1;",Nakh-Daghestanian,threatened,
sout3261,Southwestern Dargwa,,language,Eurasia,41.977226,47.565486,RU,"Nakh-Daghestanian, Daghestanian, Dargwic, South Dargwa","(Amuzgu-Shiri:1,(Icari:1,Sanzhi:1)sanz1247:1,Sirhwa-Tanty:1,(Amux:1,Khuduts:1,Qunqi:1)uppe1463:1)sout3261:1;",Nakh-Daghestanian,,
sakh1247,Nighvng,,language,Eurasia,51.7814,143.1628,RU,Nivkh,"(Central_Sakhalin_Nivkh:1,East_Sakhalin_Nivkh:1,South_Sakhalin_Nivkh:1)sakh1247:1;",Nivkh,moribund,
